wkn,name,instrument_id
979583,First Private Europa Aktien ULM A,48077
979772,Deutsche Postbank Europafonds Aktien,1426698
980142,WESTINVEST INTERSELECT,632363
980500,CS Euroreal A € i.L.,51956
980550,UNIIMMO: DEUTSCHLAND,51923
980551,UNIIMMO: EUROPA,632378
980555,UNIIMMO: GLOBAL,619168
980700,GRUNDBESITZ EUROPA RC,46691
980701,hausInvest,43478
980705,grundbesitz global RC,51929
980708,grundbesitz Fokus Deutschland RC,639915
980780,DEGI EUROPA,55361
980956,DEKA-IMMOBILIENEUROPA,53510
981772,HI TOPSELECT D,332980
984645,AXA Immoselect i.L.,52499
984801,DWS Top Portfolio Offensiv,58523
984811,DWS Top Dividende LD,43307
986071,DNB Asian Mid Cap A,43589
986080,GS US CORE Equity PF Base Snap,333040
986135,Nordea-1 European Covered Bond BP €,73772
986226,SISF European Equity Yield € B dis,333016
986275,LiLux Convert,46925
986333,Alger American Asset Growth A $,333061
986380,Fidelity Euro Stoxx 50 A €,1662729
986459,Franklin Mut US Value A acc. $,333034
986514,AB International Technology A $,332977
986575,Barings Eastern Europe A $ inc,47726
986729,Morgan St. US Growth A $,333088
986932,BGF World Mining A2 $,55514
987063,GS&P Fonds Schwellenländer R,53984
987139,BGF Latin American A2 $,51368
987144,Templeton Eastern Europe A acc €,55061
987184,Vontobel Asia Pacific Equity B $,51959
987194,UniDynamicFonds: Europa A,332914
987735,Metzler European Smaller Comp Sust A,333196
987736,Metzler European Growth Sust A,1429608
988006,PEH Empire P,60269
988044,Amundi Austria Stock A (D),59651
988083,UBS (L) EF Health Care $ P-acc,332908
988149,Robeco Asia-Pacific Equities D €,1483590
988237,JPM Emerging Middle East Eq. A dist $,59258
988255,UniDynamicFonds: Global A,1429638
988475,UniNachhaltig Aktien Europa A,1429641
988562,Pictet Biotech P $,51467
988567,UniEuropa Mid&SmallCaps,1429644
988726,DWS CONCEPT ARTS CONSERVATIVE,44060
989229,JHH Pan European Smaller Comp A2 €,57908
989232,JHH Pan European Property Eq A2 €,332992
989412,ERSTE Stock Europe Emerging EUR R01 T €,49889
989439,Metzler Global Equities Sust A,1429611
989614,Sauren Global Growth A,1429653
989620,MFS Meridian European Research A1 €,332953
989632,MFS Meridian Global Equity A1 €,53291
989805,UniRenta Osteuropa A,55880
989807,UniDynamicFonds: Europa -net- A,332965
989879,BL Equities Europe B,333172
989899,AS European Equity A Acc €,332983
989941,SEB European Equity Small Caps C €,1429659
989946,JPM IF Glo Macro Opportunities A acc €,247506
989975,FvS Global Quality H,880300
A0B6MU,Pictet Emerging Markets Index P $,1429704
A0B821,UniDividendenAss -net- A,1429701
A0B8SR,Fidelity India Focus A €,56735
A0B91Q,Fidecum avant-garde Stock A,813266
A0B9Q3,AXA Aedificandi A € Cap,55916
A0B9Q4,AXA Aedificandi A € Dis,58490
A0B9Z3,SEB SICAV 2 Eastern Europe Sm.MC C €,1429635
A0BKM9,Alpen Privatbank German Select R,73790
A0BKZD,Stewart Glo EM Leaders A acc £,42800
A0BL2G,BGF Global Allocation A2 €,55796
A0BL2K,BGF US Small&MidC Opportunities A2 €,333064
A0BL7N,VCH Expert Natural Resources B,55955
A0BLVU,DekaStruktur: 4 ChancePlus,1429698
A0BMAR,BGF World Mining A2 €,45539
A0CA01,Robeco Chinese Equities D €,57314
A0CA0W,Robeco Global Consumer Trends D €,73799
A0CA6V,Fidelity China Focus A $,56921
A0D9KW,GS&P Fonds Deutsche Aktien Total Ret I,50807
A0DKM6,Carmignac Pf-Grande Europe A € acc,1429656
A0DLKB,JH Continental European A2 €,59930
A0DN1Q,FPM Stockpicker Germany Small/Mid C,50312
A0DN29,Warburg Value Fund A,58811
A0DNE8,JH Pan European A2 €,55022
A0DP5W,Carmignac Investissement A € acc,59933
A0DP5Z,Carmignac Euro-Entrepreneurs A € acc,1429605
A0DP7P,DWS Invest ESG EM Equities LC,44747
A0DP7Q,DWS Invest ESG EM Equities LD,57167
A0DPW0,Carmignac Patrimoine A € acc,48155
A0DPX3,Carmignac Emergents A € acc,48131
A0DQN4,Sparinvest Global Value € R,332899
A0EQVB,Vontobel Glo. Equity A $,47924
A0ER7P,3 Banken Staatsanleihen-Fonds,1407608
A0ET47,Pictet Premium Brands P €,1658367
A0F5MH,BFI Equity (EUR) R €,333019
A0F61P,Robeco BP US Premium Equities D $,333067
A0F69B,Medical BioHealth € H,1429707
A0H06Q,Alken European Opportunities R,332968
A0H0WC,Fidelity Gl. Property A $,92049
A0HF3W,Nordea-1 Stable Return BP €,247503
A0HGJR,JPM Russia A acc $,1427109
A0HMM3,AS Asian Smaller Comp A Acc $,45989
A0J2YE,BGF European Focus A2 $,333160
A0J317,Jupiter European Growth L € Acc,49127
A0J36T,ERSTE Resp Stock Global EUR R01 T €,178647
A0J3PB,HSBC GIF BRIC Markets Equity AC,53903
A0J3UF,Earth Exploration Fund UI € R,58412
A0JC8V,Comgest Growth Europe € Dis,56174
A0JDCH,KEPPLER LINGOHR GLOBAL EQUITY,332974
A0JEL6,UniReserve: Euro-Corporates,813269
A0JJ57,UniCommodities,1662732
A0JJZV,SISF European Special Situat. A acc,333121
A0KDMT,Allianz Europe Equity Growth A €,44231
A0KDMU,Allianz Europe Equity Growth AT €,333205
A0KECF,Franklin US Opportunities A Ydis €,333025
A0KECM,Franklin Mut Glo Discov A Ydis €,44279
A0KEDE,Franklin Technology A acc €,1483593
A0KEXM,SIEMENS BALANCED,1640745
A0KEYM,LBBW Global Warming R,1429059
A0KEYR,LBBW Dividenden Strategie Sm & MidCaps I,60023
A0LF5X,Ethna-DEFENSIV T,46436
A0LFYL,HWB Victoria Strategies Portfolio R,1451199
A0LFYM,HWB Portfolio Plus R,1451196
A0LG6V,NN (L) Glo Real Estate P Cap €,332971
A0M003,ODDO BHF Polaris Flexible DRW-€,57443
A0M00E,Digital Stars Europe Acc,1429647
A0M430,FvS SICAV Multiple Opportunities R,53003
A0M43U,FvS Multi Asset Defensive R,103920
A0M8HD,Frankfurter Aktienf. für Stiftungen T,54434
A0M99W,Lupus alpha All Opportunities C,1429713
A0M9A1,Carmignac Pf-Emerging Discovery A € acc,1429716
A0M9SB,BGF World Gold A2 €-h,333373
A0MKQK,LF Sys ETF Portfolio Global,494142
A0MQN4,AS Emerging Markets SC A Acc $,53138
A0MSUS,SISF Glo Climate Change € A acc,107628
A0MVL0,MainFirst Top European Ideas A,1429710
A0MWAN,DNB Technology A €,178644
A0MWCV,BL Equities Dividend A,59330
A0MX8G,ÖkoWorld Klima C,1427112
A0MZ0U,Sauren Global Stable Growth D,48821
A0MZK6,Franklin Glo Funda Strats A acc €,59468
A0NAUM,LBBW Dividenden Strategie Euroland I,333100
A0NAUN,LBBW Dividenden Strategie Euroland IT,333139
A0NAUP,LBBW Nachhaltigkeit Aktien R,1589191
A0NBKM,ÖkoWorld Water for Life C,1658370
A0NEKQ,Aramea Rendite Plus A,47117
A0Q1LH,Allianz Thailand Equity A €,51806
A0Q32Q,Sparinvest Ethical Global Value € R,1429719
A0Q72H,Stuttgarter-Aktien-Fonds,1427115
A0Q8A0,CONCEPT AURELIA GLOBAL,333001
A0Q8NL,ÖkoWorld Rock 'n' Roll Fonds C,1589200
A0Q8T6,Morgan St. Global Infrastruc. USD A,180804
A0RAJN,MainFirst Germany A,333175
A0RAK3,Templeton Frontier Markets A acc €,57953
A0RCVW,Vontobel Clean Technology B €,1429722
A0REA4,"KOREA FUND INC. DL-,01",883563
A0RF5H,Allianz European Eq Dividend AT €,332950
A0RHHC,TBF Smart Power € R,332923
A0RLJD,Pictet Global Megatrend Selection P €,73775
A0X754,ACATIS Gané Value Event A,44717
A0X758,ACATIS IfK Value Renten A,51599
A0X8JZ,Pictet Global Megatrend Selection P dy €,1589203
A0X8U6,Ethna-AKTIV T,99579
A0YAJD,Comgest Growth Europe Opp € Acc,1589194
A111ZF,Dirk Müller Premium Aktien R,73814
A14SK0,DJE Mittelstand & Innovation PA €,1429740
A14VGZ,Quantex Global Value € R,1673190
A1C7Y8,DJE Zins & Dividende PA €,1589206
A1CU83,Franklin Gold & Prec. Metals A acc $,1360826
A1CUAY,WERTGRUND WohnSelect D,270732
A1CXWP,Stuttgarter Dividendenfonds,1429725
A1H72F,ACATIS Datini Valueflex B,1426701
A1J0HV,ÖkoWorld Growing Markets 2.0 C,1429734
A1J3AM,PI Vermögensbildungsfonds AMI P a,54263
A1J4RH,FvS Dividend R,1429737
A1J8MD,DJE Concept PA,333004
A1JED1,Allianz China Strategic Bond A H2-€,54656
A1JFWE,Allianz Global Metals&Mining AT €,332944
A1JJHG,Threadneedle (L) Global SC AE € acc,1617321
A1JJMA,Vontobel mtx Sustainable EM Leaders B $,1429728
A1JQ13,UniGlobal II A,1429731
A1JSY0,Fidelity Gl. Dividend A QIncome(G) €,1472580
A1JV7V,Allianz Income and Growth A H2 €,1483596
A1KCCM,MainFirst Global Equities A,813272
A1W0ND,PRIMA Kapitalaufbau Total Return A,83772
A1W17W,FvS Der erste Schritt R,631538
A1W2CK,GLS BANK AKTIENFONDS A,1658358
A1XBPF,FvS Global Emerging Markets Equities R,1589209
A1XEQ4,FvS Multiple Opportunities II RT,1640748
A1XFE0,Deutschland Ethik 30 Aktienindexfonds R,1662735
A2AQ95,SOLIT Wertefonds R,336409
A2AQF1,Allianz Thematica A €,1441883
A2DKAR,Allianz Glob Art Intelligence A €,1617324
A2DKAU,Allianz Glob Art Intelligence AT €,1589212
A2DVQA,Berenberg European Micro Cap R €,1427118
A2H661,CS (L) Global Digital Health Eq B $,1658373
A2H7N2,The Digital Leaders Fund R,1020570
A2JDXZ,UniIndustrie 4.0 A,1429743
A2JR84,Threadneedle (L) European SC 1E € acc,1483599
A2N4K2,BGF Future of Transport A2 $,1431816
A2N812,BIT Global Internet Leaders 30 R - I,1426704
A2N84J,CANSOUL Hanf Aktien Global € R,807831
A2P2FA,GF Global Cannabis Opportunity €,1360823
A2PT6U,GLOBALPORTFOLIOONE RT,1523541
A2QDRW,BIT Global Leaders R - I,1421286
