wkn,name,instrument_id
A0LGP7,ISHSII-LS I.LKD GILTS LSD,380117
A0LGP8,ISHARES TIPS UCITS,46637
A0LGP9,ISHSII-CORE UK GLTS LSDIS,380108
A0LGQA,ISHSII-EO G.BD 7-10YR EOD,257217
A0LP78,GOLDBULLIONSECURITIES,46790
A0M2EA,INVESCOM3 F RAFUS1000 A,54866
A0M2EC,POWERSHARES FTSE RAFI EUROPE FUND,58313
A0M2EK,POWERSHARES FTSE RAFI EMERG.MRKT. FUND,44846
A0M2EN,IMIII-I.FTSE R.AW.3000 A,68147
A0M59G,ISHSII-GL.T.+FOREST.DLDIS,257700
A0M9J8,UBS ETF (CH) - SLI SFAD,601186
A0MJQA,LYX.CAC40DLY(-2X)INV.U.E.,1371792
A0MM0N,ISHSII-LIST.PRIV.EQ.DLDIS,257184
A0MM0S,ISHSII-GL.WATER DLDIS,257697
A0MMBG,MA.-NYSE AR.GO.BU.IN.UETF,197028
A0MMQY,ISHS TR.-US AERO.+DEF.ETF,1262956
A0MMRM,VANGUARD INF.TECH.IDX ETF,1662798
A0MNT7,LYX.EURO ST.50D.(-2X)I. A,45461
A0MNT8,LYX.EURO ST.50D.(-1X)I. A,55334
A0MR61,ISHSII-BRIC 50 DL DIS,257175
A0MW0M,ISHSII-GL.CL.ENERGY DLDIS,257166
A0MYHC,SPDR S+P SEMICOND. ETF,1662762
A0MZWN,ISHSII-UK PROP. LSDIS,380132
A0MZWP,ISHSII-FTSE MIB EO DIS,380135
A0MZWQ,ISHSII-CORE MSCI EUR.EOD,49781
A0N62D,WITR MET.SEC.DZ07/UN.XPT,57125
A0N62E,WITR MET.SEC.DZ07/UN.XPD,58652
A0N62F,WITR MET.SEC.DZ07/UN.XAG,52127
A0N62G,WITR MET.SEC.DZ07/UN.XAU,54842
A0N62H,WITR MET.SEC.DZ07/UN.BSKT,47234
A0N6XG,WISDOMTREE MS.Z07/UN.XPT,1372584
A0N6XH,WISDOMTREE MS.Z07/UN.XPD,965917
A0N6XJ,WITR MET.SEC.Z07/UN.XAG,1372587
A0N6XK,WITR MET.SEC.Z07/UN.XAU,1372590
A0N6XL,WITR MET.SEC.Z07/UN.BSKT.,1372593
A0N9WS,HSBC FTSE 100 UCITS ETF,1107227
A0NA45,ISHSII-MSCI EM LAT.AM.DLD,257187
A0NA46,ISHSII-MSCI WLD ISL.DLDIS,259636
A0NA47,ISHSII-MSCI EM ISL.DLDIS,257169
