wkn,name,instrument_id
A192QE,VOLKSWAGEN INTL18/UND.FLR,685821
A192QF,VOLKSWAGEN INTL18/UND.FLR,685824
A192ZB,CIRSA FIN.IN. 18/23 REGS,1453152
A19340,GOLDM.S.GRP 18/28 MTN,1251414
A193KQ,OTE PLC 18/22 MTN,685848
A194GC,NEXANS 18/23,1508030
A195AW,INTESA SAN. 18/23 MTN,1614681
A19AW2,ACAFP 1 7/8 12/20/26,342519
A19B3G,FREGR 1 1/2 01/30/24,450672
A19B3H,FREGR 2 1/8 02/01/27,450663
A19B3J,FREGR 3 01/30/32,450684
A19B8E,ANNGR 1 3/4 01/25/27,450633
A19BCD,JOHNSON CONTROLS INTERNAT. PLCEO-NOTES 2016(17/25),879937
A19BGR,BMW 0 3/4 07/12/24,342516
A19BHN,IRISH 1.7 05/15/37,465441
A19BLP,DGFP 1 1/4 01/18/27,342777
A19BQ7,NK 1 1/2 01/15/27,361842
A19BUH,INTESA SAN. 17/24 MTN,1614660
A19BX7,JAGUAR LAND R.A.17/24REGS,1271060
A19BYY,IGIM 1 5/8 01/19/27,361824
A19C1A,SIGMA 2 5/8 02/07/24,465444
A19CF6,DT 0 7/8 01/30/24,450699
A19CF7,DT 1 3/8 01/30/27,450669
A19CMR,LGB 0 5/8 02/01/27,465423
A19D4R,KO 0 1/2 03/08/24,450735
A19D5N,IBERDROLA FINANZAS S.A.U.EO-MED.-TERM NOTES 2017(2,880255
A19D6Y,SLOVGB 1 7/8 03/09/37,465417
A19DAC,KLEPIERRE S.A.EO-MED.-TERM NOTES 2017(17/27),376727
A19DG1,BQE C.TUNISIE 17/24,1436362
A19DL8,PET. MEX. 17/24 MTN,1584291
A19DL9,PET. MEX. 17/28 MTN,1584294
A19DMP,CAIAV 1 7/8 02/22/24,450639
A19DRL,ERICB 1 7/8 03/01/24,450696
A19DZD,SPGB 2.35 07/30/33,465450
A19E10,ENGIE S.A.EO-MED.-TERM NOTES 2017(17/24),376706
A19E11,ENGIE S.A.EO-MED.-TERM NOTES 2017(17/28),376760
A19E14,SCA HYGIENE ABEO-MED.-TERM NTS 2017(17/24),376751
A19E15,SCA HYGIENE ABEO-MED.-TERM NTS 2017(17/27),376733
A19E1Z,SPIE S.A.EO-BONDS 2017(17/24),376769
A19E68,VIEFP 1.496 11/30/26,450630
A19E9T,VW 1 1/8 10/02/23,450744
A19E9U,VW 1 7/8 03/30/27,450720
A19EBS,AVIS BUDGET FIN.17/25REGS,1271063
A19EF4,COMPAGNIE DE SAINT-GOBAIN S.A.EO-MEDIUM-TERM NOTES,880843
A19EF8,FASTIGHETS AB BALDEREO-NOTES 2017(17/25),376787
A19EGB,NOKIA CORP.EO-MEDIUM-TERM NOTES 17(17/24),376775
A19EJK,"PRICELINE GROUP INC., THEEO-NOTES 2017(17/22)",376772
A19EJL,THERMO FISHER SCIENTIFIC INC.EO-NOTES 2017(17/27),880807
A19EJR,MOTABILITY OPERATIONS GRP PLCEO-MEDIUM-TERM NOTES,880168
A19EPA,ELISA OYJEO-MEDIUM-TERM NOTES 2017(24),376724
A19EWF,RELX FINANCE B.V.EO-NOTES 2017(17/24),376748
A19EWG,STATKRAFT ASEO-MEDIUM-TERM NTS 2017(17/25),376796
A19EWH,"KROATIEN, REPUBLIKEO-NOTES 2017(27)",376811
A19EXZ,WOLTERS KLUWER N.V.EO-NOTES 2017(17/27),376730
A19EYW,PEUGEOT S.A.EO-MED.-TERM NOTES 2017(17/24),376742
A19F8D,VIENNA INS.GRP 17-47 FLR,1434253
A19FET,FOY 2 1/4 03/29/22,450657
A19FG5,NOVNVX 1 1/8 09/30/27,450717
A19FK2,HEIGR 1 5/8 04/07/26,450678
A19FK6,BMW 0 7/8 04/03/25,450660
A19FW2,IGYGY 1 04/13/25,450738
A19G0B,VIGAV 3 1/2 05/11/27,470481
A19G8U,CRITERIA CAIXA 17/23 MTN,1453122
A19GBU,ROMANI 2 3/8 04/19/27,465414
A19GCS,RAGB 0 1/2 04/20/27,465426
A19H08,BBVASM 5 7/8 PERP,470514
A19H4C,LITHUN 0.95 05/26/27,465447
A19H4D,LITHUN 2.1 05/26/47,465432
A19HC5,NORICAN 17/23,1303939
A19HE9,LEVI 3 3/8 03/15/27,506598
A19HNC,GOLDM.S.GRP 17/24 MTN,1251402
A19HWL,DT 1 1/8 05/22/26,465435
A19HY4,AAPL 0 7/8 05/24/25,465420
A19HY5,AAPL 1 3/8 05/24/29,465429
A19J4J,SUPERIOR IN.INTL 17/25,1341150
A19J8N,GLOBALW. REI 17/22,1396808
A19JEV,METALCORP GRP 2022,815811
A19JLQ,STERV 2 1/2 06/07/27,470517
A19JLW,NESTE OYJ 17-24,1614585
A19JQH,AEROPORTI DI ROMA 17/27,1614666
A19JX4,VW 3 7/8 PERP,470487
A19JY5,TURKEY 3 1/4 06/14/25,470475
A19JY9,T 3.15 09/04/36,470523
A19JZF,UPC HOLDING 17/29 REGS,1584297
A19JZU,IVYCST 5 1/8 06/15/25,470478
A19K2Q,SAMVARD.MOTH.AUT.SY.17/24,1341153
A19KB9,THREE GOR.F.II 17/24,1483620
A19KH3,BRITEL 0 1/2 06/23/22,470493
A19KH4,BRITEL 1 06/23/24,470544
A19KH5,BRITEL 1 1/2 06/23/27,470490
A19KJG,BPLN 1.077 06/26/25,470541
A19KJH,BPLN 1.637 06/26/29,470502
A19KX1,BELDEN INC. 17/27 REGS,1341156
A19KYJ,GECINA 17-22 FLR MTN,1614591
A19KYP,EIB EUR.INV.BK 17/47 MTN,1508069
A19L0W,VOD 1 1/2 07/24/27,506607
A19L3U,ADLER GROUP S.A. 17/24,1558803
A19L42,EVAN GRP 17/22,1452819
A19L83,UNANA 0 7/8 07/31/25,506625
A19L84,UNANA 1 3/8 07/31/29,506616
A19LY8,TMO 1.4 01/23/26,506577
A19LY9,TMO 1.95 07/24/29,506589
A19LYW,TMO 2 7/8 07/24/37,506622
A19LYX,ERFFP 2 1/8 07/25/24,506583
A19M4B,BATSLN 1 1/8 11/16/23,506610
A19M4D,BATSLN 2 1/4 01/16/30,506613
A19MDV,METALCORP,507741
A19N98,ANGLO AM. CAP. 17/25 MTN,1531714
A19NPG,GOLDM.S.GRP 19/24 MTN,1251420
A19NS2,GRENKE FIN. 17/22 MTN,1232196
A19NS9,VONOVIA FINANCE 17/25 MTN,1435021
A19NSP,UBM REALITAETEN,507744
A19P23,LEASEPLAN 17/22 MTN,1453143
A19PT3,METSAE BOARD 17-27,1614588
A19PUR,ERAMET 17/24,1368243
A19PUS,GOLDMAN S.GRP 17/23 FLR,1251405
A19Q5Z,IREN 17/27 MTN,1614669
A19QK3,ALTICE FINCO 17/28 REGS,1614663
A19R3N,EUROF.SCIENTIF.17/UND.FLR,1271075
A19R6D,AKELIUS RESIDENT,554565
A19RCU,DANONE,554508
A19RCV,RCI BANQUE 17/24 FLR MTN,1259172
A19RCW,PROCTER & GAMBLE,554544
A19RCX,PROCTER & GAMBLE,554550
A19RLS,INEOS FINANCE PL,554535
A19RVP,BORMIOLI PHARMA 17/24 FLR,1531717
A19S2S,HELLENIC REPUBLI,554556
A19S2T,HELLENIC REPUBLI,554520
A19S2U,HELLENIC REPUBLI,554493
